,id,type,x_coord,y_coord,total_diff,mean_diff,max_diff
0,263,outlet,554.87,403.34,0.11998579797695763,0.01333175533077307,0.11998579797695763
1,267,outlet,241.49,563.3,0.01104496494698104,0.0012272183274423378,0.01104496494698104
2,269,outlet,622.79,539.18,0.11998579797695763,0.01333175533077307,0.11998579797695763
3,273,outlet,507.89,238.34,0.1083392520923594,0.012037694676928822,0.1083392520923594
4,279,outlet,553.79,483.62,0.11998579797695763,0.01333175533077307,0.11998579797695763
5,281,outlet,553.79,492.26,0.11998579797695763,0.01333175533077307,0.11998579797695763
6,285,outlet,534.74,351.83,0.11998579797695763,0.01333175533077307,0.11998579797695763
7,289,outlet,565.85,418.58,0.23955716416385409,0.026617462684872677,0.11998579797695763
8,293,outlet,403.58,263.45,0.24876041182415198,0.02764004575823911,0.12877461384719435
9,297,outlet,485.18,263.45,0.23955716416385409,0.026617462684872677,0.11998579797695763
10,301,outlet,440.42,566.15,0.13044938712647358,0.014494376347385953,0.13044938712647358
11,304,outlet,565.85,522.74,0.11957136618689646,0.013285707354099606,0.11957136618689646
12,318,outlet,720.23,435.02,0.11998579797695763,0.01333175533077307,0.11998579797695763
13,320,outlet,693.14,508.55,0.0,0.0,0.0
14,322,outlet,699.14,482.75,0.01104496494698104,0.0012272183274423378,0.01104496494698104
15,332,outlet,661.55,440.66,0.11998579797695763,0.01333175533077307,0.11998579797695763
16,491,outlet,496.58,496.25,0.24876041182415198,0.02764004575823911,0.12877461384719435
17,624,outlet,480.26,442.85,0.23955716416385409,0.026617462684872677,0.11998579797695763
20,710,outlet,269.81,531.26,0.01104496494698104,0.0012272183274423378,0.01104496494698104
21,716,outlet,269.81,428.18,0.01104496494698104,0.0012272183274423378,0.01104496494698104
22,722,outlet,269.81,481.46,0.0,0.0,0.0
23,728,outlet,307.37,531.26,0.1083392520923594,0.012037694676928822,0.1083392520923594
24,734,outlet,307.37,428.18,0.1083392520923594,0.012037694676928822,0.1083392520923594
25,740,outlet,307.37,481.46,0.11957136618689646,0.013285707354099606,0.11957136618689646
26,746,outlet,340.37,531.26,0.1083392520923594,0.012037694676928822,0.1083392520923594
27,752,outlet,340.37,428.18,0.1083392520923594,0.012037694676928822,0.1083392520923594
28,758,outlet,340.37,481.46,0.11957136618689646,0.013285707354099606,0.11957136618689646
29,764,outlet,377.81,531.26,0.01104496494698104,0.0012272183274423378,0.01104496494698104
30,770,outlet,377.81,428.18,0.01104496494698104,0.0012272183274423378,0.01104496494698104
31,776,outlet,377.81,481.46,0.0,0.0,0.0
32,782,outlet,410.33,428.18,0.1083392520923594,0.012037694676928822,0.1083392520923594
33,788,outlet,410.33,481.46,0.11957136618689646,0.013285707354099606,0.11957136618689646
34,794,outlet,454.49,428.18,0.01104496494698104,0.0012272183274423378,0.01104496494698104
35,800,outlet,454.49,481.46,0.0,0.0,0.0
36,882,outlet,1011.74,774.05,0.11998579797695763,0.01333175533077307,0.11998579797695763
37,887,outlet,1012.22,678.41,0.23955716416385409,0.026617462684872677,0.11998579797695763
38,899,outlet,1012.22,651.05,0.11998579797695763,0.01333175533077307,0.11998579797695763
