,id,type,x_coord,y_coord,total_diff,mean_diff,max_diff
0,37825,outlet,633.4,1985.54,2.007320033639525,0.15440923335688653,0.2545584412271573
1,37830,outlet,817.45,1575.14,0.15149936395251018,0.011653797227116168,0.15149936395251018
2,37832,outlet,751.03,1575.95,0.0,0.0,0.0
15,38062,outlet,817.72,2174.9,2.007320033639525,0.15440923335688653,0.2545584412271573
21,38132,outlet,739.96,1575.95,1.6232676872310612,0.1248667451716201,0.1792378244853694
22,38134,outlet,829.06,1575.14,1.5763752488278642,0.12125963452522032,0.1792378244853694
23,38138,outlet,633.4,1974.47,1.109814170241787,0.08537032078782977,0.17957295553584762
24,38140,outlet,633.4,2016.14,2.007320033639525,0.15440923335688653,0.2545584412271573
25,38145,outlet,633.4,2005.07,1.109814170241787,0.08537032078782977,0.17957295553584762
26,38147,outlet,642.76,2090.57,2.1078189778193437,0.16213992137071875,0.2545584412271573
42,38437,outlet,705.76,2055.92,2.007320033639525,0.15440923335688653,0.2545584412271573
54,39185,outlet,444.94,2141.69,1.109814170241787,0.08537032078782977,0.17957295553584762
55,39196,outlet,545.56,2141.69,1.109814170241787,0.08537032078782977,0.17957295553584762
56,39207,outlet,444.94,1983.11,0.0,0.0,0.0
57,39218,outlet,545.56,1949.81,0.0,0.0,0.0
