,id,type,x_coord,y_coord,total_diff,mean_diff,max_diff
0,9939,outlet,1133.71,1742.54,0.15149936395251018,0.011653797227116168,0.15149936395251018
30,10467,outlet,1400.65,1743.62,0.15149936395251018,0.011653797227116168,0.15149936395251018
31,10472,outlet,1447.72,2000.12,1.6413928119522634,0.12626098553478948,0.1786516711191224
32,10477,outlet,1089.97,2000.12,0.0,0.0,0.0
33,10479,outlet,522.61,2052.68,1.8981740655155845,0.14601338965504496,0.25424004604406303
36,10503,outlet,988.99,1710.77,1.800281207339696,0.13848316979536124,0.25424004604406303
37,10505,outlet,623.32,1976.63,1.5408938677724446,0.11853029752095728,0.1786516711191224
49,10614,outlet,948.04,1910.57,1.8981740655155845,0.14601338965504496,0.25424004604406303
51,10633,outlet,1444.03,1743.62,0.15149936395251018,0.011653797227116168,0.15149936395251018
52,10638,outlet,1484.8,1743.62,1.5763752488278642,0.12125963452522032,0.1792378244853694
53,10643,outlet,1533.67,1743.62,0.15149936395251018,0.011653797227116168,0.15149936395251018
54,10648,outlet,1263.85,1743.62,0.15149936395251018,0.011653797227116168,0.15149936395251018
55,10653,outlet,1214.8,1743.62,1.5763752488278642,0.12125963452522032,0.1792378244853694
56,10658,outlet,1172.95,1743.62,0.15149936395251018,0.011653797227116168,0.15149936395251018
57,10663,outlet,1084.75,1743.62,0.15149936395251018,0.011653797227116168,0.15149936395251018
58,10668,outlet,1041.55,1743.62,0.15149936395251018,0.011653797227116168,0.15149936395251018
59,10673,outlet,1040.11,2000.12,0.0,0.0,0.0
60,10678,outlet,1125.61,2000.12,0.0,0.0,0.0
61,10683,outlet,1173.76,2000.12,1.6413928119522634,0.12626098553478948,0.1786516711191224
62,10688,outlet,1214.35,2000.12,1.5408938677724446,0.11853029752095728,0.1786516711191224
63,10693,outlet,1263.4,2000.12,1.6413928119522634,0.12626098553478948,0.1786516711191224
64,10698,outlet,1394.17,2000.12,0.0,0.0,0.0
65,10700,outlet,1483.99,2000.12,0.0,0.0,0.0
66,10705,outlet,1533.85,2000.12,0.0,0.0,0.0
67,10707,outlet,856.42,1710.77,1.8981740655155845,0.14601338965504496,0.25424004604406303
70,10764,outlet,844.72,1710.77,1.8981740655155845,0.14601338965504496,0.25424004604406303
71,10766,outlet,623.32,1987.7,1.6413928119522634,0.12626098553478948,0.1786516711191224
72,10768,outlet,522.61,2062.58,1.8981740655155845,0.14601338965504496,0.25424004604406303
77,10941,outlet,1025.08,1886.63,2.1078189778193437,0.16213992137071875,0.2545584412271573
78,10943,outlet,1025.08,1840.55,1.109814170241787,0.08537032078782977,0.17957295553584762
82,11008,outlet,1150.18,1794.2,1.6413928119522634,0.12626098553478948,0.1786516711191224
83,11013,outlet,1184.2,1794.2,1.6413928119522634,0.12626098553478948,0.1786516711191224
84,11018,outlet,1220.29,1794.2,1.5408938677724446,0.11853029752095728,0.1786516711191224
85,11023,outlet,1152.25,1862.96,1.648781843387186,0.12682937256824506,0.25424004604406303
86,11028,outlet,1179.25,1862.96,0.9583148062892768,0.07371652356071359,0.17957295553584762
87,11033,outlet,1209.67,1863.68,1.648781843387186,0.12682937256824506,0.25424004604406303
88,11038,outlet,1149.55,1949.18,2.1078189778193437,0.16213992137071875,0.2545584412271573
89,11043,outlet,1182.94,1948.46,2.007320033639525,0.15440923335688653,0.2545584412271573
90,11048,outlet,1219.75,1949.18,1.109814170241787,0.08537032078782977,0.17957295553584762
91,11053,outlet,1206.97,1879.7,1.676874193007683,0.12899032253905254,0.1792378244853694
92,11058,outlet,1148.2,1880.42,2.007320033639525,0.15440923335688653,0.2545584412271573
93,11063,outlet,1406.14,1949.18,2.007320033639525,0.15440923335688653,0.2545584412271573
94,11068,outlet,1439.53,1948.46,1.109814170241787,0.08537032078782977,0.17957295553584762
95,11073,outlet,1476.34,1949.18,2.007320033639525,0.15440923335688653,0.2545584412271573
96,11078,outlet,1302.55,1793.48,0.0,0.0,0.0
97,11083,outlet,1336.57,1793.48,0.0,0.0,0.0
98,11088,outlet,1372.75,1793.48,0.0,0.0,0.0
99,11093,outlet,1406.05,1794.92,0.9583148062892768,0.07371652356071359,0.17957295553584762
100,11098,outlet,1440.07,1794.92,0.9583148062892768,0.07371652356071359,0.17957295553584762
101,11103,outlet,1476.25,1794.92,0.9583148062892768,0.07371652356071359,0.17957295553584762
102,11117,outlet,1083.94,1895.9,1.5763752488278642,0.12125963452522032,0.1792378244853694
103,11127,outlet,1476.25,1865.3,0.9583148062892768,0.07371652356071359,0.17957295553584762
104,11132,outlet,1421.35,1865.3,1.648781843387186,0.12682937256824506,0.25424004604406303
105,11137,outlet,1378.42,1865.3,1.7492807875670047,0.13456006058207728,0.25424004604406303
106,11142,outlet,1476.34,1877.81,1.6232676872310612,0.1248667451716201,0.1792378244853694
107,11147,outlet,1421.35,1877.81,1.5253748290551727,0.11733652531193636,0.1792378244853694
108,11152,outlet,1378.42,1877.81,1.6232676872310612,0.1248667451716201,0.1792378244853694
111,11204,outlet,758.41,1832.18,1.6232676872310612,0.1248667451716201,0.1792378244853694
112,11209,outlet,724.39,1740.74,1.6232676872310612,0.1248667451716201,0.1792378244853694
113,11214,outlet,1310.65,1743.26,1.676874193007683,0.12899032253905254,0.1792378244853694
114,11219,outlet,1354.12,1743.26,1.5763752488278642,0.12125963452522032,0.1792378244853694
115,11221,outlet,1632.04,1868.09,1.676874193007683,0.12899032253905254,0.1792378244853694
116,11237,outlet,1246.03,1867.01,0.0,0.0,0.0
134,11467,outlet,675.7,1857.92,0.8860565244830951,0.06815819419100731,0.14332725693956805
