,id,type,x_coord,y_coord,total_diff,mean_diff,max_diff
0,7898,outlet,1451.56,1367.36,9.970020973293117,0.7669246902533167,2.0382853642886163
1,8197,outlet,1024.18,454.85,0.16575399048866934,0.018417110054296595,0.11960741489920679
2,8199,outlet,691.87,347.54,0.00798157808430755,0.0008868420093675056,0.00798157808430755
3,8201,outlet,601.09,413.78,0.27700415713131044,0.030778239681256717,0.15739674223210365
4,8203,outlet,808.99,621.74,0.0,0.0,0.0
5,8207,outlet,443.74,525.29,0.17395319467964843,0.01932813274218316,0.12780661909018587
6,8209,outlet,459.58,607.07,0.21771176541569437,0.024190196157299376,0.10955760423820893
7,8211,outlet,403.81,541.46,0.2655509034095891,0.029505655934398786,0.15739674223210365
8,8214,outlet,328.45,630.02,0.2655509034095891,0.029505655934398786,0.15739674223210365
9,8216,outlet,328.57,814.82,0.27700415713131044,0.030778239681256717,0.15739674223210365
10,8218,outlet,328.81,898.34,0.27700415713131044,0.030778239681256717,0.15739674223210365
11,8220,outlet,328.45,1084.58,0.16575399048866934,0.018417110054296595,0.11960741489920679
12,8222,outlet,385.78,1094.15,0.12070816435574416,0.013412018261749351,0.10955760423820893
13,8224,outlet,502.75,1118.54,0.0,0.0,0.0
14,8226,outlet,403.81,1162.46,0.2655509034095891,0.029505655934398786,0.15739674223210365
15,8234,outlet,808.99,710.18,0.0,0.0,0.0
16,8236,outlet,641.0865,751.299,6.198272904516873,0.6886969893907637,2.0262022255748735
17,8239,outlet,680.061,751.3725,6.0663025518523215,0.6740336168724802,1.9558088298561387
18,8242,outlet,721.3105,752.029,6.143384423987245,0.682598269331916,2.007265284185309
19,8245,outlet,751.1905,779.869,6.313427046808731,0.701491894089859,2.1368766758367617
20,8248,outlet,616.06,848.15,0.12070816435574416,0.013412018261749351,0.10955760423820893
21,8250,outlet,650.02,848.15,0.0,0.0,0.0
22,8252,outlet,684.1,848.15,0.12070816435574416,0.013412018261749351,0.10955760423820893
23,8254,outlet,724.9,848.15,0.12070816435574416,0.013412018261749351,0.10955760423820893
24,8256,outlet,616.06,874.97,0.2853394024662119,0.031704378051801325,0.23919282687674936
25,8258,outlet,650.02,874.97,0.2853394024662119,0.031704378051801325,0.23919282687674936
26,8260,outlet,684.1,874.97,0.2853394024662119,0.031704378051801325,0.23919282687674936
27,8262,outlet,725.02,874.97,0.2937684016092197,0.03264093351213552,0.24762182601975713
28,8264,outlet,589.33,622.7,0.2655509034095891,0.029505655934398786,0.15739674223210365
29,8266,outlet,589.33,530.18,0.2655509034095891,0.029505655934398786,0.15739674223210365
30,8268,outlet,630.22,733.31,0.12070816435574416,0.013412018261749351,0.10955760423820893
31,8270,outlet,700.3,733.31,0.12070816435574416,0.013412018261749351,0.10955760423820893
32,8272,outlet,806.86,733.31,0.10955760423820893,0.01217306713757877,0.10955760423820893
33,8274,outlet,589.33,1194.74,0.2655509034095891,0.029505655934398786,0.15739674223210365
34,8276,outlet,888.55,784.34,0.11960741489920679,0.013289712766578532,0.11960741489920679
35,8278,outlet,641.0865,971.701,6.184101201999731,0.6871223557777478,2.0289152420664323
36,8281,outlet,680.061,971.6275,6.237436963467774,0.6930485514964193,2.073183280542597
37,8284,outlet,721.311,971.091,6.347993374356583,0.7053325971507314,2.129217946180539
38,8287,outlet,751.191,943.131,6.360279857164466,0.7066977619071628,2.153871125804317
39,8290,outlet,589.33,908.06,0.27700415713131044,0.030778239681256717,0.15739674223210365
40,8296,outlet,589.33,1098.62,0.2655509034095891,0.029505655934398786,0.15739674223210365
41,8298,outlet,804.46,990.29,0.16575399048866934,0.018417110054296595,0.11960741489920679
42,8300,outlet,699.7,990.41,0.16575399048866934,0.018417110054296595,0.11960741489920679
43,8302,outlet,630.82,990.41,0.17395319467964843,0.01932813274218316,0.12780661909018587
44,8304,outlet,808.99,1005.98,0.0,0.0,0.0
45,8306,outlet,808.99,1107.14,0.0,0.0,0.0
46,8308,outlet,808.99,1208.3,0.0,0.0,0.0
47,8310,outlet,589.33,790.34,0.2655509034095891,0.029505655934398786,0.15739674223210365
48,8316,outlet,490.18,856.67,0.21771176541569437,0.024190196157299376,0.10955760423820893
49,8318,outlet,414.46,856.67,0.21771176541569437,0.024190196157299376,0.10955760423820893
50,8320,outlet,808.99,687.38,0.00798157808430755,0.0008868420093675056,0.00798157808430755
51,8322,outlet,808.99,558.74,0.0,0.0,0.0
52,8325,outlet,808.99,1034.78,0.00798157808430755,0.0008868420093675056,0.00798157808430755
